name,,count
Trinidad and Tobago,166039,338021.5
Tunisia,61705,3740160.5
Turkey,58223,35167955.5
Turkmenistan,30229,1606808.5
Turks and Caicos Islands,4760.5,4760.5
Tuvalu,4749,4749
Uganda,5200,3329034
Ukraine,352917.5,17031145.5
United Arab Emirates,38531,3455586.5
United Kingdom,59065,24750143
United States of America,24004.5,162665650
United States Virgin Islands,32543,32543
Uruguay,21714,1759166
Uzbekistan,55200.5,7717590.5
Vanuatu,10634.5,50605
Vatican (Holy Sea),832,832
Venezuela,77192,14689717
Vietnam,126370,19777668
Western Sahara,350,350
Yemen,37821,5301009.5
Zambia,20355,3611597.5
Zimbabwe,9966,3422098.5
